id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts84639,revisions,SHOW,"When Shibuya time-warps to 2388, high schooler Daisuke and his friends are conscripted by AHRV agent Milo to fight the hostile cyborg race, revisions.",2019,TV-14,23,"['action', 'scifi', 'animation']",['JP'],1.0,tt9522354,5.9,658.0,6.237,7.1
ts104449,The Liberator,SHOW,The true story of one of the bloodiest battles of World War II.,2020,TV-MA,49,"['war', 'animation', 'action', 'drama']",['US'],1.0,tt9308682,7.6,6564.0,14.227,7.062
ts89282,Toy Boy,SHOW,"After seven years in a Málaga prison, a male stripper is released pending retrial and sets out to prove his lover framed him for her husband's murder.",2019,TV-MA,61,"['drama', 'thriller', 'crime', 'action']",['ES'],2.0,tt8693266,6.5,7992.0,27.721,7.671
tm914535,2 Hearts,MOVIE,"When illness strikes two people who are polar opposites, life and death bring them together in surprising ways.",2020,PG-13,100,"['drama', 'romance']",['US'],,tt5616176,6.3,6694.0,19.905,7.5
ts218776,Happy Jail,SHOW,The jail in the Philippines made famous for a viral Michael Jackson dance video comes under the management of an ex-convict which causes some controversy,2019,,34,['documentation'],[],1.0,tt10753590,7.0,261.0,1.971,8.0
ts251157,Wizards: Tales of Arcadia,SHOW,"Merlin’s apprentice joins Arcadia’s heroes on a time-bending adventure in Camelot, where conflict is brewing between the human, troll and magical worlds.",2020,TV-Y7,24,"['action', 'comedy', 'scifi', 'animation']",['US'],1.0,,,,22.215,8.263
tm832345,365 Days,MOVIE,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.",2020,,114,"['drama', 'romance', 'european']",['PL'],,tt10886166,3.3,92268.0,28.743,7.1
ts84586,Spinning Out,SHOW,"Kat Baker is an up-and-coming, high-level single skater who is about to turn in her skates after a disastrous fall. When Kat seizes an opportunity to continue her career as a pair skater with a talented bad-boy partner, she risks exposing a fiercely kept secret that could unravel her entire life.",2020,TV-MA,49,"['drama', 'sport']",['US'],1.0,tt9117054,7.6,15483.0,15.87,8.044
tm681578,The Rental,MOVIE,Two couples rent a vacation home for what should be a celebratory weekend get-away.,2020,R,88,"['thriller', 'drama', 'horror']",['US'],,tt10003008,5.7,34363.0,18.301,5.566
tm473813,Chopsticks,MOVIE,A gifted but insecure woman is in for a transformative experience when she enlists the help of an enigmatic con artist to recover her stolen car,2019,,100,"['comedy', 'drama']",['IN'],,tt10243678,6.5,4921.0,4.656,6.0
ts251378,Mystery Lab,SHOW,"Host Felipe Castanhari explores science, history, mysteries and marvels, uncovering mind-blowing facts with help from his lab buddies.",2020,TV-PG,26,"['comedy', 'animation', 'family', 'documentation']",['BR'],1.0,tt12723962,7.4,833.0,5.095,7.159
tm853953,Tremors: Shrieker Island,MOVIE,"Graboids are illegally taken to a new island resort by a rich playboy as a dangerous form of trophy hunting, and Burt Gummer steps up to save the day.",2020,PG-13,102,['horror'],['US'],,,,,14.184,6.157
ts85398,Our Planet,SHOW,Experience our planet's natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope.,2019,TV-G,50,['documentation'],['GB'],1.0,tt9253866,9.3,45339.0,14.091,8.538
tm893799,Lost Bullet,MOVIE,"A small time delinquent, turned police mechanic for a go fast task force, is forced to defend his innocence when his mentor is killed by dirty cops.",2020,,93,"['thriller', 'action', 'crime']","['FR', 'BE']",,tt10456740,6.3,12586.0,15.759,6.61
tm890660,The Paramedic,MOVIE,"Unable to face his new reality in a wheelchair, Ángel develops a deadly obsession with the woman who left him and unleashes a sinister revenge plot.",2020,,94,"['thriller', 'action', 'crime', 'drama']",['ES'],,tt11127690,5.7,13423.0,12.117,6.075
ts107724,The Defeated,SHOW,Max McLaughlin is an American cop who arrives in Berlin in the summer of 1946 to help create a police force in the chaotic aftermath of the war.,2020,TV-MA,55,"['thriller', 'drama', 'history']","['CA', 'FR', 'DE']",1.0,tt8879894,7.0,7088.0,7.966,6.4
ts256764,Heaven Official's Blessing,SHOW,"Xie Lian, the crown prince of Xian Le Kingdom, successfully ascends to Heaven during his third trial in spite of successive demotions. However, he accidentally breaks the Gold Palace of heavenly officials. With no human worshiping him, Xie Lian has to descend to the secular world to exorcise ghosts, which may help him sustain his divinity.",2020,TV-14,24,"['drama', 'action', 'scifi', 'history', 'war', 'animation', 'comedy', 'fantasy']","['US', 'CN']",2.0,tt13375866,8.2,1835.0,11.967,8.093
tm494731,Sextuplets,MOVIE,Father-to-be Alan is shocked to learn that he was born a sextuplet. He and his newfound brother Russell set out on a hilarious journey to reunite with their other long-lost siblings.,2019,,97,['comedy'],['US'],,tt8976710,4.5,9007.0,23.309,6.252
ts237208,The Big Flower Fight,SHOW,"Ten pairs of florists, sculptors and garden designers face off in a friendly floral fight to see who can build the biggest, boldest garden sculptures.",2020,TV-PG,39,['reality'],"['US', 'GB']",1.0,tt12200714,7.4,1293.0,2.144,6.6
tm823545,Disappearance at Clifton Hill,MOVIE,"Following the death of her mother, a young woman returns home to Niagara Falls and becomes entangled in the memory of a kidnapping she claims to have witnessed as a child.",2020,,100,"['thriller', 'drama']",['CA'],,tt5919756,5.4,4535.0,6.084,5.5
ts250800,Kissing Game,SHOW,"At a high school in a rural, isolated ranching community, families panic when teens contract a mysterious ""kissing disease"" that quickly spreads.",2020,,40,"['thriller', 'drama']",['BR'],1.0,tt12825380,,,14.63,7.0
tm460360,4 latas,MOVIE,"To find Joseba, a dying friend, and see him reunite with his daughter Ely, two old friends, Jean Pierre and Tocho, embark with her on a road trip through the Sahara desert, from Spain to Mali.",2019,,105,"['drama', 'comedy', 'european']","['FR', 'ES']",,tt8242160,5.9,3406.0,8.704,5.809
ts89696,Tijuana,SHOW,"When a prominent politician is murdered, the intrepid journalists of Frente Tijuana risk their lives to uncover the truth.",2019,TV-14,41,"['drama', 'crime']",['MX'],1.0,tt8027624,7.0,349.0,6.224,7.6
tm466954,Alien Warfare,MOVIE,A team of Navy Seals investigates a mysterious science outpost only to have to combat a squad of powerful alien soldiers.,2019,,88,"['thriller', 'action', 'scifi']",['US'],,tt9562694,2.6,3632.0,15.406,4.1
ts85451,45 RPM,SHOW,The birth of a music label and three characters fighting for their dreams inside the complex inside the music industry.,2019,TV-MA,57,"['drama', 'music']",['ES'],1.0,tt8987918,7.2,563.0,5.694,6.9
tm921416,Class of '83,MOVIE,A hero policeman shunted to a punishment posting as the Dean of the police academy decides to punish the corrupt bureaucracy and its criminal allies in return by training five lethal assassin policemen.,2020,,98,"['action', 'crime', 'drama', 'thriller']",['IN'],,tt10230422,5.8,5513.0,5.906,6.0
ts84661,Cursed,SHOW,"In this fresh take on the Arthurian legend, teenager Nimue joins forces with mercenary Arthur on a quest to find Merlin and deliver an ancient sword.",2020,TV-MA,55,"['action', 'scifi', 'drama', 'fantasy']",['GB'],1.0,tt8210856,5.9,31283.0,25.115,7.311
ts254568,The Last Word,SHOW,A story about a funeral eulogy speaker who loses faith in her work and tries to sabotage her husband's funeral.,2020,TV-MA,41,"['comedy', 'drama']",['DE'],1.0,tt10506510,7.1,1049.0,4.568,6.5
ts89315,Huge in France,SHOW,Famous comedian Gad Elmaleh moves to LA to reconnect with his son and must learn to live without the celebrity perks he's accustomed to in France.,2019,TV-MA,31,['comedy'],['FR'],1.0,tt8009602,6.8,2970.0,6.318,5.5
ts237751,Gameboys,SHOW,"Teenage streamer Cairo is caught off guard when he receives a video call from a new online rival called Gavreel. He is even more surprised when the handsome stranger asks him out.

Can two gamers make romance work during the COVID-19 pandemic lockdown, or will it be game over for their love story?",2020,TV-14,27,"['comedy', 'drama', 'romance']",['PH'],2.0,tt12508898,8.4,1231.0,5.996,6.75
tm898773,Bulbbul,MOVIE,"A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village.",2020,,94,"['horror', 'drama']",['IN'],,tt12393526,6.5,12877.0,15.228,6.755
ts251617,Connected,SHOW,"Science journalist Latif Nasser investigates the surprising and intricate ways in which we are connected to each other, the world and the universe.",2020,TV-14,44,"['documentation', 'comedy']",['US'],1.0,tt12753692,7.5,1803.0,5.601,7.735
tm846941,John Was Trying to Contact Aliens,MOVIE,"John Shepherd spent 30 years trying to contact extraterrestrials by broadcasting music millions of miles into space. After giving up the search, he makes a different connection here on earth.",2020,,16,['documentation'],['US'],,,,,4.919,6.4
tm475339,Beats,MOVIE,An agoraphobic hip-hop prodigy and a disgraced former music manager cross paths in Chicago’s South Side and help each other face demons of their pasts.,2019,,109,['drama'],['US'],,tt8530978,6.4,5595.0,12.028,6.8
ts80709,Another Life,SHOW,"After a massive alien artifact lands on Earth, Niko Breckinridge leads an interstellar mission to track down its source and make first contact.",2019,TV-MA,42,"['drama', 'scifi', 'thriller']",['US'],2.0,tt8369840,5.3,36659.0,36.532,6.154
ts103329,Ghost in the Shell: SAC_2045,SHOW,"After a global financial crisis, the world is engulfed in an AI-driven ""sustainable war."" It's up to Section 9 to counter new forms of cyber threats.",2020,TV-14,25,"['scifi', 'action', 'animation', 'thriller', 'crime', 'drama']",['JP'],2.0,tt9466298,6.3,2700.0,38.339,6.543
